"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","F10492431","C","3360","4500 NE 15th Ave","","$899,000","","1,831","I02","1965","4","Coral Heights Sec 3 47-19","Yes","Yes",""
"1","R11062860","C","3380","1025-1027 NE 16 Terrace","","$899,000","4","3,026","","1960","","Progresso","No","No",""
"1","A11863875","C","3400","1480 NW 20th Ct","","$899,000","4","¤2,187","I04","1973","6","¤FT LAUDERDALE ESTATES","No","No",""
"1","A11777826","C","3450","210 NE 40th Ct","","$895,000","","¤3,155","I03","1969","5","¤BONIELLO GARDENS 2ND ADD","No","No",""
"1","A11825655","C","3070","1112 NE 5th Ave","","$890,000","2","¤2,550","I02","1986","4","¤PROGRESSO","No","No",""
"1","F10448191","C","3470","615 SW 14th Ave","","$885,000","","2,924","I02","1931","8","Riverside Add Amd 1-13 B","No","No",""
"1","A11869878","C","3370","1904 NE 26th Dr","","$876,000","","¤1,244","I02","1954","2","¤CORAL GARDENS","Yes","No",""
"1","A11938759","C","3380","1400 NE 14th St","","$875,000","","¤1,938","I03","1953","6","¤PROGRESSO","No","No",""
"1","A11673882","C","3240","1109 NE 6th Ave","","$870,000","3","¤2,492","I03","1973","6","¤PROGRESSO","No","No",""
"1","A11756412","C","3370","1109 NE 6th Ave","","$860,000","3","¤2,492","I03","1973","5","¤PROGRESSO","No","No",""
"1","A11865777","C","3400","820-822 SW 12th Ct","","$850,000","","¤2,580","I02","1968","4","¤ISLAND VIEW","No","No",""
"1","A11744134","C","3400","820-822 SW 12th Ct","","$850,000","","¤2,580","I02","1968","2","¤ISLAND VIEW","No","No",""
"1","F10465736","C","3600","916 SE 12th Ct #1-2","","$850,000","2","2,000","I02","1959","5","Everglade/ Rio Vista area","No","No",""
"1","A11575002","C","3380","1411 NE 12th St","","$849,900","3","¤1,752","I02","1959","6","¤PROGRESSO","No","No",""
"1","A11729654","C","3470","615 SW 14th Ave","","$849,000","2","¤2,092","I02","1940","8","¤RIVERSIDE ADD AMEN PLAT","No","No",""
"1","F10437017","C","3390","1128-1132 NW 5th Ct","","$840,000","2","3,070","I02","1988","4","TUSKEGEE PARK","No","No",""
"1","A11770829","C","3400","820-822 SW 12th Ct","","$835,000","","¤2,580","I02","1968","2","¤ISLAND VIEW","No","No",""
"1","F10480258","C","3380","1104-1106 NE 16th Ave","","$825,000","2","1,676","I02","1960","4","LAKE RIDGE","No","No",""
"1","F10444434","C","3390","1038 NW 3rd Ave","","$825,000","4","2,480","I04","1969","5","Progresso 2-18 D","No","No",""
"1","F10444427","C","3390","1030 NW 3rd Ave","","$825,000","4","2,480","I04","1969","5","Progresso 2-18 D","No","No",""
"1","F10444421","C","3390","1028 NW 3rd Ave","","$825,000","4","2,480","I04","1969","5","Progresso 2-18 D","No","No",""
"1","F10442910","C","3390","1026 NW 3rd Ave","","$825,000","4","2,480","I04","1969","5","Progresso 2-18 D","No","No",""
"1","A11917885","C","3480","1708 SW 20th St","","$825,000","2","¤1,785","I02","1974","4","¤OSCEOLA PARK","No","No",""
"1","A11917870","C","3480","1702 SW 20th St","","$825,000","2","¤1,785","I02","1968","4","¤OSCEOLA PARK","No","No",""
"1","F10530859","C","3850","1471 NW 22nd St","","$824,999","","2,969","","1975","6","Ft Lauderdale Estates 1st","No","No",""
"1","A11732647","C","3380","2018-2020 NE 19th St","","$815,000","2","¤1,876","I02","1958","0","LAUDER-GATE","No","No",""
"1","A11642552","C","3390","1125/1127 N Andrews Ave","","$799,999","","¤2,393","I02","1977","6","¤PROGRESSO","No","No",""
"1","A11882390","C","3400","1112 NE 5th Ave","","$799,000","","¤2,550","I02","1986","4","¤PROGRESSO","No","No",""
