"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1001","A10760403","PS","32","1255 WEST AV","$19,900,000","0.3300","17,250","1/4 To Less Than 1/2 Acre Lot","40/MUL M","Miami Beach","City/County Maintained","No","Zoned Multifamily","Residential",""
"1001","A11961506","PS","3112","1105 Hillsboro Mile","$17,000,000","0.9600","","3/4 To Less Than 1 Acre Lot","","HILLSBORO MILE","","Yes","Zoned Residential","Residential",""
"1001","B26003619","PS","5001","240 Tangier Avenue","$12,500,000","0.3900","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre, Oversized Lot","R-B (city)","TANGIER EST","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome",""
"1001","A11807918","PS","98 Florida Keys","721 W Ocean Dr","$9,198,000","2.0000","","4 To Less Than 5 Acre Lot","is","Stevens Sub","","Yes","Zoned Residential","Residential",""
"1001","B26034052","PS","5940 Florida Other","1331 Ponte Vedra Boulevard","$7,000,000","1.4800","","1 To Less Than 2 Acre Lot, East Of US 1, Oversized Lot","Vac Res (0000)","N/A","City/County Maintained, Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1001","R10962548","PS","6311 Indian River – Beach City","1746 Ocean Drive","$6,995,000","0.9900","","1/2 To Less Than 3/4 Acre Lot","R-1AA","RIOMAR SUBDIVISION PLAT NO","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1001","B26048911","PS","3170","2552 Mercedes Drive","$5,960,000","0.3000","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-4.4","HARBOR BEACH","","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1001","A11850551","PS","22","10201 E Broadview Dr","$5,900,000","0.2600","11,250","1/4 To Less Than 1/2 Acre Lot","¤0100","BAY HARBOR ISLAND","","Yes","Zoned Residential","Residential",""
"1001","A11996482","PS","3160","1651 N Ft Lauderdale Beach Blvd","$5,900,000","0.3500","8,925","","¤RS-8","LAS OLAS BY THE SEA EXT","","Yes","Zoned Residential","Residential",""
"1001","A12042652","PS","41","5110 SW 80th St","$5,300,000","0.8900","38,804","","¤2300","KINGSLEYS SUB","","No","Zoned Residential","Residential",""
"1001","A11985831","PS","32","1095 NE 83rd St","$4,999,900","0.5460","23,794","1/2 To Less Than 3/4 Acre Lot","¤0100","ADEMAR PARK AMD PL","Public Road","Yes","Zoned Residential","Residential",""
"1001","R11117637","PS","5790","8946 Sea Chase Drive","$4,999,000","10.0000","","5 To Less Than 10 Acre Lot","RS","PALM BEACH FARMS CO PL NO ","Private Road","Yes","","",""
"1001","B26048910","PS","3280","26 Pelican Drive","$4,950,000","0.3000","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-4.4","PELICAN ISLE","","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1001","B26005686","PS","3240","71 Bay Colony Drive","$4,500,000","0.3200","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-4.4","Bay Colony","Paved Road, Private Road","Yes","","Unimproved Agri/Recreatn/Moblhome",""
"1001","F10528750","PS","3200","14390 Mustang Trail","$4,449,000","4.6899","204,296","4 To Less Than 5 Acre Lot, Interior Lot","RR","SUNSHINE RANCHES","Paved Road","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1001","A11832619","PS","32","2121 Regatta Ave","$3,999,000","0.1653","7,200","Less Than 1/4 Acre Lot","¤0100","SUNSET ISLANDS - ISLAND N","","No","Zoned Residential","Residential",""
"1001","A12018875","PS","3030","1051 S Southlake Dr","$3,999,000","0.4000","17,552","","¤RS-9","HOLLYWOOD LAKES SECTION","","Yes","Zoned Residential","Residential",""
"1001","B26026965","PS","5440","333 Murray Road","$3,995,000","0.2900","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","SF14 (city)","LAKEWOOD","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome",""
