mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
A11592284,1112 NE 5th Ave Unit#1-2,Area 3370,Multifamily,Cancelled,890000.0,6751.0,132.0,298.0,-55.8,1204575.0,-26.1
F10449571,2455 E Sunrise Boulevard Unit#209,Area 3260,Commercial (other),Expired,423040.0,1322.0,320.0,757.0,-57.7,255939.0,65.3
F10450305,2455 E Sunrise Boulevard Unit#512,Area 3260,Commercial (other),Expired,416975.0,1283.0,325.0,769.0,-57.7,248389.0,67.9
A11842002,648 W Oakland Park Blvd,Area 3390,Mixed Use,Expired,750000.0,9351.0,80.0,192.0,-58.2,1296672.0,-42.2
F10491090,2001 W State Road 84 Unit#232/234,Area 3580,Industrial,Expired,1300000.0,11800.0,110.0,265.0,-58.4,1829472.0,-28.9
A11806234,719 NW 7th Ter,Area 3112,Industrial,Cancelled,985000.0,6750.0,146.0,354.0,-58.7,1046520.0,-5.9
F10450312,2455 E Sunrise Boulevard Unit#815,Area 3260,Commercial (other),Expired,369495.0,1071.0,345.0,847.0,-59.2,207346.0,78.2
A11804621,401 E Oakland Park Blvd,Area 3450,Mixed Use,Expired,540000.0,5268.0,103.0,260.0,-60.5,730496.0,-26.1
F10449575,2455 E Sunrise Boulevard Unit#502,Area 3260,Commercial (other),Expired,359775.0,1107.0,325.0,832.0,-60.9,214315.0,67.9
F10462346,824 NE 16th Street,Area 3370,Multifamily,Expired,930000.0,9759.0,95.0,245.0,-61.1,1741289.0,-46.6
F10491429,2001 W State Road 84 #418,Area 3580,Industrial,Expired,1200000.0,11800.0,102.0,265.0,-61.6,1829472.0,-34.4
F10468835,314 SE 14th Street,Area 3800,Commercial (other),Cancelled,665000.0,6000.0,111.0,300.0,-63.0,1161600.0,-42.8
A11475571,739 NW 7th Ter,Area 3010,Industrial,Expired,875000.0,6750.0,130.0,354.0,-63.3,1046520.0,-16.4
A11701071,405-407 E Oakland Park Blvd,Area 3450,Multifamily,Cancelled,600000.0,4335.0,138.0,390.0,-64.5,773490.0,-22.4
F10450332,2455 E Sunrise Boulevard Unit#CU-1B,Area 3260,Commercial (other),Expired,830625.0,8381.0,99.0,283.0,-65.0,1622562.0,-48.8
F10490790,200 SE 19th Street,Area 3800,Commercial (other),Expired,599000.0,6950.0,86.0,278.0,-68.9,1345520.0,-55.5
F10526269,200 SE 19th Street,Area 3800,Commercial (other),Cancelled,549000.0,6950.0,79.0,278.0,-71.5,1345520.0,-59.2
A11819489,1403 NW 8th Ave,Area 3390,Multifamily,Expired,575000.0,6749.0,85.0,308.0,-72.3,1204218.0,-52.3
F10421306,1432 NE 10th Avenue,Area 3370,Commercial (other),Expired,525000.0,5992.0,88.0,328.0,-73.3,1160051.0,-54.7
